시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일
세종특별자치시 고운동,2111,2111,0,가락마을 19단지,59.6506,202011,20,52800,4,2019,밝은뜰로 15,
세종특별자치시 고운동,2111,2111,0,가락마을 19단지,59.6506,202011,21,53900,8,2019,밝은뜰로 15,
세종특별자치시 고운동,2111,2111,0,가락마을 19단지,59.6506,202011,23,48000,3,2019,밝은뜰로 15,
세종특별자치시 고운동,2111,2111,0,가락마을 19단지,105.6138,202011,26,87000,11,2019,밝은뜰로 15,
세종특별자치시 고운동,2111,2111,0,가락마을 19단지,59.6506,202012,17,50000,4,2019,밝은뜰로 15,
세종특별자치시 고운동,2111,2111,0,가락마을 19단지,105.6138,202012,19,77000,5,2019,밝은뜰로 15,
세종특별자치시 고운동,2111,2111,0,가락마을 19단지,59.6506,202101,20,54000,14,2019,밝은뜰로 15,
세종특별자치시 고운동,2111,2111,0,가락마을 19단지,59.6506,202101,26,51900,17,2019,밝은뜰로 15,
세종특별자치시 고운동,2111,2111,0,가락마을 19단지,59.6506,202102,7,54000,10,2019,밝은뜰로 15,
세종특별자치시 고운동,2111,2111,0,가락마을 19단지,59.6506,202102,10,52800,13,2019,밝은뜰로 15,
세종특별자치시 고운동,2111,2111,0,가락마을 19단지,105.6138,202103,2,90000,3,2019,밝은뜰로 15,
세종특별자치시 고운동,2111,2111,0,가락마을 19단지,59.6506,202103,3,54300,10,2019,밝은뜰로 15,
세종특별자치시 고운동,2111,2111,0,가락마을 19단지,59.6506,202104,17,50500,4,2019,밝은뜰로 15,
세종특별자치시 고운동,2111,2111,0,가락마을 19단지,59.6506,202105,2,52300,16,2019,밝은뜰로 15,
세종특별자치시 고운동,2111,2111,0,가락마을 19단지,59.6506,202105,3,52000,14,2019,밝은뜰로 15,
세종특별자치시 고운동,2111,2111,0,가락마을 19단지,105.7788,202105,18,85000,17,2019,밝은뜰로 15,
세종특별자치시 고운동,2111,2111,0,가락마을 19단지,84.9544,202105,25,66000,15,2019,밝은뜰로 15,
세종특별자치시 고운동,1396,1396,0,가락마을 20단지(호반베르디움5차),84.9895,202011,3,65000,22,2015,만남로 190,
세종특별자치시 고운동,1396,1396,0,가락마을 20단지(호반베르디움5차),84.9895,202011,21,67100,10,2015,만남로 190,
세종특별자치시 고운동,1396,1396,0,가락마을 20단지(호반베르디움5차),84.9895,202011,27,69500,14,2015,만남로 190,
세종특별자치시 고운동,1396,1396,0,가락마을 20단지(호반베르디움5차),84.9895,202012,4,69500,11,2015,만남로 190,
세종특별자치시 고운동,1396,1396,0,가락마을 20단지(호반베르디움5차),59.8338,202012,15,52800,13,2015,만남로 190,
세종특별자치시 고운동,1396,1396,0,가락마을 20단지(호반베르디움5차),84.9895,202012,18,67000,10,2015,만남로 190,
세종특별자치시 고운동,1396,1396,0,가락마을 20단지(호반베르디움5차),84.9895,202012,23,64400,2,2015,만남로 190,
세종특별자치시 고운동,1396,1396,0,가락마을 20단지(호반베르디움5차),84.9895,202012,23,68700,15,2015,만남로 190,
세종특별자치시 고운동,1396,1396,0,가락마을 20단지(호반베르디움5차),84.9895,202012,28,70000,11,2015,만남로 190,
세종특별자치시 고운동,1396,1396,0,가락마을 20단지(호반베르디움5차),59.8338,202101,17,52000,16,2015,만남로 190,
세종특별자치시 고운동,1396,1396,0,가락마을 20단지(호반베르디움5차),59.8338,202102,4,52000,11,2015,만남로 190,20210225
세종특별자치시 고운동,1396,1396,0,가락마을 20단지(호반베르디움5차),59.8338,202102,4,52000,11,2015,만남로 190,
세종특별자치시 고운동,1396,1396,0,가락마을 20단지(호반베르디움5차),84.9895,202102,23,64000,5,2015,만남로 190,
세종특별자치시 고운동,1396,1396,0,가락마을 20단지(호반베르디움5차),84.9895,202102,27,69800,22,2015,만남로 190,
세종특별자치시 고운동,1396,1396,0,가락마을 20단지(호반베르디움5차),84.9895,202103,13,68500,17,2015,만남로 190,
세종특별자치시 고운동,1396,1396,0,가락마을 20단지(호반베르디움5차),59.8338,202104,10,48500,4,2015,만남로 190,
세종특별자치시 고운동,1396,1396,0,가락마을 20단지(호반베르디움5차),84.9895,202104,10,66500,14,2015,만남로 190,
세종특별자치시 고운동,1396,1396,0,가락마을 20단지(호반베르디움5차),84.9895,202104,12,63000,4,2015,만남로 190,
세종특별자치시 고운동,1396,1396,0,가락마을 20단지(호반베르디움5차),84.9895,202104,13,64000,4,2015,만남로 190,
세종특별자치시 고운동,1396,1396,0,가락마을 20단지(호반베르디움5차),84.9895,202104,15,64000,22,2015,만남로 190,
세종특별자치시 고운동,1396,1396,0,가락마을 20단지(호반베르디움5차),59.9897,202104,24,49000,8,2015,만남로 190,
세종특별자치시 고운동,1396,1396,0,가락마을 20단지(호반베르디움5차),84.9895,202105,9,69000,16,2015,만남로 190,
세종특별자치시 고운동,1396,1396,0,가락마을 20단지(호반베르디움5차),84.9895,202105,13,69500,14,2015,만남로 190,
세종특별자치시 고운동,1396,1396,0,가락마을 20단지(호반베르디움5차),59.9897,202105,21,47000,8,2015,만남로 190,
세종특별자치시 고운동,1731,1731,0,가락마을 2단지,107.1433,202011,25,82000,14,2019,마음로 49,
세종특별자치시 고운동,1731,1731,0,가락마을 2단지,107.1433,202012,3,96500,8,2019,마음로 49,
세종특별자치시 고운동,1731,1731,0,가락마을 2단지,111.3013,202102,3,88500,8,2019,마음로 49,
세종특별자치시 고운동,1731,1731,0,가락마을 2단지,107.1433,202104,2,88500,8,2019,마음로 49,
세종특별자치시 고운동,1409,1409,0,가락마을11단지(중흥에듀카운티),73.713,202011,21,51000,3,2016,마음로 152,
세종특별자치시 고운동,1409,1409,0,가락마을11단지(중흥에듀카운티),73.713,202012,17,55800,19,2016,마음로 152,
세종특별자치시 고운동,1409,1409,0,가락마을11단지(중흥에듀카운티),84.9837,202012,26,66000,10,2016,마음로 152,
세종특별자치시 고운동,1409,1409,0,가락마을11단지(중흥에듀카운티),84.9837,202101,13,65000,14,2016,마음로 152,
세종특별자치시 고운동,1409,1409,0,가락마을11단지(중흥에듀카운티),59.9907,202101,20,53200,11,2016,마음로 152,
세종특별자치시 고운동,1409,1409,0,가락마을11단지(중흥에듀카운티),59.9907,202101,20,49900,17,2016,마음로 152,
세종특별자치시 고운동,1409,1409,0,가락마을11단지(중흥에듀카운티),73.713,202102,6,54900,5,2016,마음로 152,
세종특별자치시 고운동,1409,1409,0,가락마을11단지(중흥에듀카운티),73.713,202102,6,57500,3,2016,마음로 152,
세종특별자치시 고운동,1409,1409,0,가락마을11단지(중흥에듀카운티),84.9837,202102,7,66000,12,2016,마음로 152,
세종특별자치시 고운동,1409,1409,0,가락마을11단지(중흥에듀카운티),59.9907,202102,24,52000,27,2016,마음로 152,
세종특별자치시 고운동,1409,1409,0,가락마을11단지(중흥에듀카운티),84.9837,202104,13,68500,19,2016,마음로 152,
세종특별자치시 고운동,1409,1409,0,가락마을11단지(중흥에듀카운티),59.9907,202104,26,45800,10,2016,마음로 152,
세종특별자치시 고운동,1409,1409,0,가락마을11단지(중흥에듀카운티),84.9837,202105,8,64000,10,2016,마음로 152,
세종특별자치시 고운동,1401,1401,0,가락마을13단지(대광로제비앙),84.606,202010,28,58000,13,2015,마음로 182,
세종특별자치시 고운동,1401,1401,0,가락마을13단지(대광로제비앙),84.606,202011,4,63000,20,2015,마음로 182,
세종특별자치시 고운동,1401,1401,0,가락마을13단지(대광로제비앙),59.655,202011,12,48000,6,2015,마음로 182,
세종특별자치시 고운동,1401,1401,0,가락마을13단지(대광로제비앙),84.606,202011,14,65000,26,2015,마음로 182,
세종특별자치시 고운동,1401,1401,0,가락마을13단지(대광로제비앙),59.655,202011,14,47000,6,2015,마음로 182,
세종특별자치시 고운동,1401,1401,0,가락마을13단지(대광로제비앙),84.606,202011,28,61000,9,2015,마음로 182,
세종특별자치시 고운동,1401,1401,0,가락마을13단지(대광로제비앙),84.606,202012,12,60000,3,2015,마음로 182,
세종특별자치시 고운동,1401,1401,0,가락마을13단지(대광로제비앙),59.655,202101,3,47500,3,2015,마음로 182,
세종특별자치시 고운동,1401,1401,0,가락마을13단지(대광로제비앙),59.655,202101,16,49000,8,2015,마음로 182,
세종특별자치시 고운동,1401,1401,0,가락마을13단지(대광로제비앙),84.606,202102,27,62200,5,2015,마음로 182,
세종특별자치시 고운동,1401,1401,0,가락마을13단지(대광로제비앙),59.655,202103,1,49900,14,2015,마음로 182,
세종특별자치시 고운동,1401,1401,0,가락마을13단지(대광로제비앙),84.606,202103,14,61500,3,2015,마음로 182,
세종특별자치시 고운동,1401,1401,0,가락마을13단지(대광로제비앙),59.655,202104,9,45700,3,2015,마음로 182,
세종특별자치시 고운동,1401,1401,0,가락마을13단지(대광로제비앙),84.606,202104,25,62500,22,2015,마음로 182,
세종특별자치시 고운동,1401,1401,0,가락마을13단지(대광로제비앙),84.606,202105,1,62000,9,2015,마음로 182,
세종특별자치시 고운동,1403,1403,0,가락마을14단지(우남퍼스트빌),107.5986,202010,14,70000,16,2020,마음안로 131,
세종특별자치시 고운동,1403,1403,0,가락마을14단지(우남퍼스트빌),107.5986,202011,8,72000,10,2020,마음안로 131,
세종특별자치시 고운동,1393,1393,0,가락마을15단지(중흥파크뷰),59.9917,202011,25,51900,13,2015,마음안로 190,
세종특별자치시 고운동,1393,1393,0,가락마을15단지(중흥파크뷰),73.9816,202101,9,58800,9,2015,마음안로 190,
세종특별자치시 고운동,1393,1393,0,가락마을15단지(중흥파크뷰),59.9917,202102,26,51000,2,2015,마음안로 190,
세종특별자치시 고운동,1393,1393,0,가락마을15단지(중흥파크뷰),59.9917,202103,17,47000,11,2015,마음안로 190,
세종특별자치시 고운동,1393,1393,0,가락마을15단지(중흥파크뷰),59.9917,202104,20,50500,11,2015,마음안로 190,
세종특별자치시 고운동,1393,1393,0,가락마을15단지(중흥파크뷰),73.9816,202104,24,59000,3,2015,마음안로 190,
세종특별자치시 고운동,1393,1393,0,가락마을15단지(중흥파크뷰),73.9816,202105,1,68000,18,2015,마음안로 190,
세종특별자치시 고운동,1395,1395,0,가락마을16단지(에듀그린),84.8788,202010,12,60000,25,2015,만남로 187,
세종특별자치시 고운동,1395,1395,0,가락마을16단지(에듀그린),84.8788,202011,14,61000,25,2015,만남로 187,
세종특별자치시 고운동,1395,1395,0,가락마을16단지(에듀그린),59.9964,202011,21,49000,4,2015,만남로 187,
세종특별자치시 고운동,1395,1395,0,가락마을16단지(에듀그린),84.8788,202011,22,65800,22,2015,만남로 187,
세종특별자치시 고운동,1395,1395,0,가락마을16단지(에듀그린),59.9964,202011,27,51000,17,2015,만남로 187,
세종특별자치시 고운동,1395,1395,0,가락마을16단지(에듀그린),84.8788,202012,12,65000,4,2015,만남로 187,
세종특별자치시 고운동,1395,1395,0,가락마을16단지(에듀그린),59.8399,202103,1,50000,7,2015,만남로 187,
세종특별자치시 고운동,1395,1395,0,가락마을16단지(에듀그린),84.8668,202103,6,65000,18,2015,만남로 187,
세종특별자치시 고운동,1395,1395,0,가락마을16단지(에듀그린),59.9964,202103,19,52200,13,2015,만남로 187,
세종특별자치시 고운동,1395,1395,0,가락마을16단지(에듀그린),59.8399,202104,15,48000,4,2015,만남로 187,
세종특별자치시 고운동,1386,1386,0,가락마을17단지(골드클래스),59.9159,202010,8,50000,16,2015,마음안1로 167,
