시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일
인천광역시 강화군 강화읍 갑곳리,165-1,165,1,그랑드빌,114.86,201306,5,18000,10,2001,갑룡길 35,
인천광역시 강화군 강화읍 갑곳리,165-1,165,1,그랑드빌,84.89,201312,20,12100,2,2001,갑룡길 35,
인천광역시 강화군 강화읍 갑곳리,1100,1100,0,베이힐,76.46,201301,28,15000,6,2007,강화대로 234-12,
인천광역시 강화군 강화읍 갑곳리,1100,1100,0,베이힐,76.46,201302,1,16300,14,2007,강화대로 234-12,
인천광역시 강화군 강화읍 갑곳리,1100,1100,0,베이힐,60.24,201305,16,13200,10,2007,강화대로 234-12,
인천광역시 강화군 강화읍 갑곳리,1100,1100,0,베이힐,76.46,201306,21,14300,2,2007,강화대로 234-12,
인천광역시 강화군 강화읍 갑곳리,1100,1100,0,베이힐,60.24,201307,9,13700,9,2007,강화대로 234-12,
인천광역시 강화군 강화읍 갑곳리,1100,1100,0,베이힐,76.46,201308,12,16400,11,2007,강화대로 234-12,
인천광역시 강화군 강화읍 갑곳리,1100,1100,0,베이힐,84.95,201309,7,19400,11,2007,강화대로 234-12,
인천광역시 강화군 강화읍 갑곳리,1100,1100,0,베이힐,84.95,201309,16,17600,3,2007,강화대로 234-12,
인천광역시 강화군 강화읍 갑곳리,1100,1100,0,베이힐,84.95,201310,8,20000,7,2007,강화대로 234-12,
인천광역시 강화군 강화읍 갑곳리,1100,1100,0,베이힐,76.46,201310,19,16000,4,2007,강화대로 234-12,
인천광역시 강화군 강화읍 갑곳리,Jan-83,83,1,설호,62.13,201303,2,6600,3,1990,갑룡길49번길 2,
인천광역시 강화군 강화읍 갑곳리,Jan-83,83,1,설호,75.19,201303,10,8050,4,1990,갑룡길49번길 2,
인천광역시 강화군 강화읍 갑곳리,Jan-83,83,1,설호,75.71,201303,29,9100,2,1990,갑룡길49번길 2,
인천광역시 강화군 강화읍 갑곳리,Jan-83,83,1,설호,66.69,201304,26,5700,3,1990,갑룡길49번길 2,
